seed,question_index,question_id,question,ideal_answers,baseline_answer_text,intervention_answer_text,answer_changed,baseline_semantic_entropy_weighted,intervention_semantic_entropy_weighted,delta_semantic_entropy_weighted,baseline_token_mean_entropy,intervention_token_mean_entropy,delta_token_mean_entropy,baseline_token_max_entropy,intervention_token_max_entropy,delta_token_max_entropy,baseline_num_generated_tokens,intervention_num_generated_tokens,delta_num_generated_tokens,baseline_elapsed_ms,intervention_elapsed_ms,delta_elapsed_ms,relative_elapsed_ms_pct,baseline_final_semantic_correct,intervention_final_semantic_correct,delta_final_semantic_correct,baseline_final_exact_match,intervention_final_exact_match,delta_final_exact_match,baseline_final_contains_match,intervention_final_contains_match,delta_final_contains_match,baseline_matched_ideal_answer,intervention_matched_ideal_answer,intervention_total_events,intervention_steps_with_events,intervention_event_density,intervention_per_site_counts
42,1,trivia_qa_104,What was the name of the brothel in The Best Little Whorehouse in Texas?,"[""Chicken Ranch"", ""Chicken Ranch (disambiguation)"", ""The Chicken Ranch"", ""chicken ranch disambiguation"", ""chicken ranch""]","The brothel in ""The Best Little Whorehouse in Texas"" is named Miss Havisham's.","The brothel in ""The Best Little Whorehouse in Texas"" is named Crystal Charity Club.",1,1.6733718153077217,1.3447661851991701,-0.3286056301085516,0.5894469233705052,0.4216418381088115,-0.1678050852616937,5.958863735198975,3.788064956665039,-2.1707987785339355,23.0,21.0,-2.0,743.0,254.0,-489.0,-65.814266487214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,8.0,4.0,0.38095238095238093,"{""mlp.output|layer_18"": 4, ""mlp.output|layer_24"": 4}"
42,2,trivia_qa_123,Who's home runs record did Mark McGwire break in the 1998 season?,"[""Roger Eugene Maras"", ""Roger marris"", ""Roger Eugene Maris"", ""Roger Maris Museum"", ""Roger Maris"", ""Roger Maras"", ""Roger Maris' 61 home run season"", ""roger maris 61 home run season"", ""roger eugene maras"", ""roger eugene maris"", ""roger maris"", ""roger marris"", ""roger maris museum"", ""roger maras""]","In the 1998 season, Mark McGwire broke Roger Maris's home run record of 61, setting a new record with 70 home runs.","In the 1998 season, Mark McGwire broke Roger Maris's home run record of 61, setting a new record with 70 home runs.",0,0.0,-2.220446049250313e-16,-2.220446049250313e-16,0.18304749730318556,0.1830619080602004,1.4410757014832187e-05,2.4399077892303467,2.4399077892303467,0.0,37.0,37.0,0.0,571.0,444.0,-127.0,-22.241681260945708,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,Roger Maris,Roger Maris,10.0,5.0,0.2702702702702703,"{""mlp.output|layer_18"": 5, ""mlp.output|layer_24"": 5}"
42,3,trivia_qa_127,Where did Jonathan Edwards set his 1995 triple jump world record?,"[""Swedish sin"", ""Swea Region"", ""Sverige"", ""Swedish origin"", ""Schweden"", ""Kingdom of Sweden"", ""SWEDEN"", ""Etymology of Sweden"", ""Mainland Sweden"", ""Konungariket Sverige"", ""Ulf Bergman"", ""Swedish climate"", ""Sweden"", ""Climate of Sweden"", ""ISO 3166-1:SE"", ""Sveden"", ""Suecia"", ""Swedish realm"", ""Zweden"", ""ulf bergman"", ""swea region"", ""swedish origin"", ""swedish climate"", ""kingdom of sweden"", ""sveden"", ""suecia"", ""swedish realm"", ""zweden"", ""iso 3166 1 se"", ""mainland sweden"", ""konungariket sverige"", ""schweden"", ""sweden"", ""sverige"", ""swedish sin"", ""climate of sweden"", ""etymology of sweden""]","Jonathan Edwards set his 1995 triple jump world record at the Meeting de Picardie in Amiens, France.","Jonathan Edwards set his 1995 triple jump world record at the Meeting de Santander in Santander, Spain.",1,1.7090262799458302,1.7091029205941488,7.66406483185822e-05,0.46167543900066343,0.5019670412351496,0.040291602234486135,5.284481048583984,5.273168087005615,-0.01131296157836914,27.0,26.0,-1.0,335.0,312.0,-23.0,-6.865671641791045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,8.0,4.0,0.3076923076923077,"{""mlp.output|layer_18"": 4, ""mlp.output|layer_24"": 4}"
42,4,trivia_qa_135,Which war veteran was Director of News & Special Events for ABC before find fame as a TV cop?,"[""Thomas William %22Tom%22 Selleck"", ""Thomas Selleck"", ""Thomas William Selleck"", ""Tom selleck"", ""Tom Selleck"", ""thomas william 22tom 22 selleck"", ""thomas selleck"", ""tom selleck"", ""thomas william selleck""]","Peter Falk was the TV cop who previously served as the Director of News & Special Events for ABC. He is best known for his role as Detective Max Fleckman on the TV series ""Columbo."" Falk was also a U.S. Army veteran.","Peter Falk was the TV cop who previously served as the Director of News & Special Events for ABC. He is best known for his role as Detective Max Fleckman on the TV series ""Columbo."" Falk was also a U.S. Army veteran.",0,1.9173627023012183,1.0795653460852193,-0.837797356215999,0.5572554297817671,0.5563021035825448,-0.0009533261992222819,5.736516952514648,5.670425891876221,-0.06609106063842773,53.0,53.0,0.0,637.0,641.0,4.0,0.6279434850863422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,36.0,18.0,0.6792452830188679,"{""mlp.output|layer_18"": 18, ""mlp.output|layer_24"": 18}"
42,5,trivia_qa_138,Who was the only female victim to be killed off in the opening credit sequence in Police Squad?,"[""Florence Agnes Henderson"", ""Florence Henderson"", ""Florence Hendersen"", ""Flo Henderson"", ""florence hendersen"", ""florence agnes henderson"", ""florence henderson"", ""flo henderson""]",The only female victim killed off in the opening credit sequence of Police Squad was Woman Number 42.,The only female victim killed off in the opening credit sequence of Police Squad was Woman Number 42.,0,1.4183662636370185,1.420087762644238,0.001721499007219629,0.5204289882034242,0.5202703781855731,-0.00015861001785111295,3.977740526199341,3.973032236099243,-0.004708290100097656,22.0,22.0,0.0,262.0,273.0,11.0,4.198473282442748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,14.0,7.0,0.6363636363636364,"{""mlp.output|layer_18"": 7, ""mlp.output|layer_24"": 7}"
42,6,trivia_qa_149,In which year was the Juilliard School founded in New York?,"[""1905"", ""one thousand, nine hundred and five"", ""one thousand nine hundred and five"", ""1905""]",The Juilliard School was founded in 1905.,The Juilliard School was founded in 1905.,0,0.0,0.0,0.0,0.02733525630493275,0.02733525630493275,0.0,0.37880799174308777,0.37880799174308777,0.0,15.0,15.0,0.0,191.0,182.0,-9.0,-4.712041884816754,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1905,1905,0.0,0.0,0.0,{}
42,7,trivia_qa_155,The Suez Canal connects the Mediterranean Sea to which other Sea?,"[""Arabicus Sinus"", ""Sinus Arabicus"", ""Red sea"", ""The red sea"", ""ቀይሕ ባሕሪ"", ""Red Sea"", ""Red Sea Basin"", ""Al Baḩr al Aḩmar"", ""Sea of Mecca"", ""red sea basin"", ""arabicus sinus"", ""ቀይሕ ባሕሪ"", ""sea of mecca"", ""sinus arabicus"", ""red sea"", ""al baḩr al aḩmar""]",The Suez Canal connects the Mediterranean Sea to the Red Sea.,The Suez Canal connects the Mediterranean Sea to the Red Sea.,0,0.0,0.0,0.0,0.000958773954222685,0.000958773954222685,0.0,0.013198007829487324,0.013198007829487324,0.0,14.0,14.0,0.0,172.0,168.0,-4.0,-2.3255813953488373,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,Red sea,Red sea,0.0,0.0,0.0,{}
42,8,trivia_qa_156,Which rock star did Cindy Crawford name her first son after?,"[""Presley"", ""Pressley"", ""Pressly"", ""pressly"", ""presley"", ""pressley""]",Cindy Crawford named her first son after the rock star Keith Richards.,Cindy Crawford named her first son after the rock star Keith Richards.,0,1.7064060080044006,1.7068304936405114,0.00042448563611086065,0.3604869153921754,0.36058863248799755,0.00010171709582212918,3.3790535926818848,3.3790535926818848,0.0,15.0,15.0,0.0,185.0,181.0,-4.0,-2.1621621621621623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,6.0,3.0,0.4,"{""mlp.output|layer_18"": 3, ""mlp.output|layer_24"": 3}"
42,9,trivia_qa_158,Who designed the dress which made the most at Diana's dress auction?,"[""Victor Edelstein"", ""victor edelstein""]",The dress designed by David Emanuel made the most at Diana's dress auction.,The dress designed by David Emanuel made the most at Diana's dress auction.,0,0.40394687104356286,0.4039883992767611,4.1528233198251385e-05,0.46959380006092877,0.4695200578853145,-7.374217561428864e-05,3.946281909942627,3.9448904991149902,-0.0013914108276367188,16.0,16.0,0.0,191.0,193.0,2.0,1.0471204188481675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,6.0,3.0,0.375,"{""mlp.output|layer_18"": 3, ""mlp.output|layer_24"": 3}"
42,10,trivia_qa_17,"""Who was the target of the failed """"Bomb Plot"""" of 1944?""","[""Hitlerian"", ""Adolph Schicklgruber"", ""HitlerAdolf"", ""Hitler's medical health"", ""Adolf Hitle"", ""Hitlar"", ""Adolph Hiedler"", ""Adolf Hiedler"", ""Adolph Hittler"", ""Day of Potsdam"", ""Adolpf Hitler"", ""Adolf Hister"", ""Adolf Hitlier"", ""Adolph Hitler's health"", ""Hitler's health"", ""Hitlers"", ""Aldof Hilter"", ""HITLER"", ""Hitler, Adolph"", ""History of Adolf Hitler"", ""Hitler,Adolph"", ""Adolph Hiter"", ""Adolf Hittler"", ""Herr Hitler"", ""Hitler,Adolf"", ""Adolf Schicklegruber"", ""Adolf hitler"", ""Adlof hitler"", ""Adolph Schickelgruber"", ""Hitler Adolf"", ""Hitlers medical health"", ""HitlerAdolph"", ""Adolph Schicklegruber"", ""Adolf Hiler"", ""Adolf Hitler's medical condition"", ""Hittler"", ""Adolf Schickelgruber"", ""Adolf Hitler"", ""Hitler's"", ""Hitler, adolf"", ""Nazi leader"", ""Hitler, Adolf"", ""Herr Wolf"", ""Adolph Hitler's medical health"", ""Adolph Hitler"", ""Adolf Hitler's health"", ""Adolf Schicklgruber"", ""AdolphHitler"", ""Adolf Hilter"", ""Health of Adolf Hitler"", ""Adolf Hitler's medical health"", ""Hitler Adolph"", ""AdolfHitler"", ""Adolf HItler"", ""Hitlet"", ""Hitler adolf"", ""Adoff Hitler"", ""Adolfus Hitler"", ""Hitler"", ""Adolph hitler"", ""hitler s medical health"", ""adlof hitler"", ""adolf hiedler"", ""hitler adolf"", ""hitleradolf"", ""adolpf hitler"", ""history of adolf hitler"", ""hitleradolph"", ""adolphhitler"", ""adolf hitler s health"", ""adoff hitler"", ""hitlar"", ""adolf hiler"", ""adolph hiedler"", ""adolf hitle"", ""aldof hilter"", ""adolph hiter"", ""hitler s"", ""hitler"", ""adolf hister"", ""adolf hittler"", ""nazi leader"", ""adolfhitler"", ""adolf hitler s medical health"", ""hitler adolph"", ""hitler s health"", ""herr hitler"", ""adolfus hitler"", ""adolph hitler"", ""adolph schicklegruber"", ""adolf hilter"", ""adolf hitler s medical condition"", ""health of adolf hitler"", ""hitlerian"", ""adolph schicklgruber"", ""adolph hitler s medical health"", ""adolph hitler s health"", ""adolph schickelgruber"", ""adolf schicklgruber"", ""day of potsdam"", ""adolf hitlier"", ""adolf hitler"", ""hitlers medical health"", ""hittler"", ""hitlers"", ""herr wolf"", ""hitlet"", ""adolf schickelgruber"", ""adolf schicklegruber"", ""adolph hittler""]","The target of the failed ""Bomb Plot"" of 1944 was Adolf Hitler.","The target of the failed ""Bomb Plot"" of 1944 was Adolf Hitler.",0,0.0,0.0,0.0,0.025825709182507827,0.025825709182507827,0.0,0.14446137845516205,0.14446137845516205,0.0,20.0,20.0,0.0,240.0,244.0,4.0,1.6666666666666667,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,Adolf Hitle,Adolf Hitle,0.0,0.0,0.0,{}
