accuracy,auc,balanced_acc,feature_set,positive_rate,rows,split,task
0.7463444800628268,0.7997402165931577,0.7360505553439252,all_noleak,0.25702996286805035,1085,question_grouped_cv,pure_correct_vs_wrong
0.7680196801939101,0.8225072672836881,0.7725205253632471,geometry,0.25702996286805035,1085,question_grouped_cv,pure_correct_vs_wrong
0.6924319335033238,0.7315249545031449,0.6671496165676125,lexical_shape,0.25702996286805035,1085,question_grouped_cv,pure_correct_vs_wrong
0.6017268926471846,0.7033142963663901,0.6544267185057315,sample0_delta,0.25702996286805035,1085,question_grouped_cv,pure_correct_vs_wrong
0.8074205466878623,0.8300383988378754,0.7706381653153836,stability,0.25702996286805035,1085,question_grouped_cv,pure_correct_vs_wrong
0.7284296959955371,0.8190854138402743,0.7254984084819578,waveform_functional,0.25702996286805035,1085,question_grouped_cv,pure_correct_vs_wrong
0.7164910884638651,0.7713649750749292,0.6650916776460254,all_noleak,0.32551291358369394,123,question_grouped_cv,rescue_vs_damage
0.6587470333659081,0.6638567116627758,0.6523213253819662,geometry,0.32551291358369394,123,question_grouped_cv,rescue_vs_damage
0.5613542277444273,0.6386445981554678,0.4797430252178536,lexical_shape,0.32551291358369394,123,question_grouped_cv,rescue_vs_damage
0.6438639769184233,0.6764890129363813,0.6550814206134572,sample0_delta,0.32551291358369394,123,question_grouped_cv,rescue_vs_damage
0.6529121410954442,0.7114517312715253,0.644192150336315,stability,0.32551291358369394,123,question_grouped_cv,rescue_vs_damage
0.7393697240448602,0.8305902464769742,0.7425075699789658,waveform_functional,0.32551291358369394,123,question_grouped_cv,rescue_vs_damage
0.6514361121830554,0.7128254627823853,0.6382188128414201,all_noleak,0.5488743767288419,350,question_grouped_cv,stable_correct_vs_hallucination
0.6982425914686013,0.7038886452511034,0.6787141059233629,geometry,0.5488743767288419,350,question_grouped_cv,stable_correct_vs_hallucination
0.5208692042521703,0.5478476877150913,0.49913115746167874,lexical_shape,0.5488743767288419,350,question_grouped_cv,stable_correct_vs_hallucination
