experiment,candidate,base_candidate,gate,pairs,unique_questions,seeds,answer_changed_count,answer_changed_rate,corrected_count,damaged_count,changed_but_correct_count,wrong_to_wrong_changed_count,stable_correct_count,stable_wrong_count,correct_delta_mean,semantic_delta_mean,semantic_delta_std,semantic_nonpositive_rate,token_mean_delta_mean,token_mean_delta_std,token_mean_nonpositive_rate,token_max_delta_mean,token_max_delta_std,token_max_nonpositive_rate,elapsed_delta_mean,elapsed_nonpositive_rate,events_mean,events_std,event_answer_changed_corr,event_semantic_delta_corr,event_token_mean_delta_corr,event_correct_delta_corr
phase1a_fixed_iti_recheck,cand008_primary,cand008_primary,default,155,31,5,11,0.07096774193548387,0,1,1,9,72,72,-0.0064516129032258064,-0.007766743743104154,0.16369203356587236,0.7870967741935484,-0.0015923265977902672,0.06273535844811708,0.44516129032258067,-0.023522863849516837,0.3060397700993572,0.8193548387096774,2.3741935483870966,0.14838709677419354,13.561290322580644,16.214905709112994,0.26245346172438794,-0.11296459947141807,0.197862515243712,0.027727216170958295
phase1a_fixed_iti_recheck,ind0067_safety_pareto,ind0067_safety_pareto,default,155,31,5,8,0.05161290322580645,1,0,0,7,74,73,0.0064516129032258064,0.02179752846366529,0.12276958587168774,0.7806451612903226,-0.0014446263311113613,0.03795369927066078,0.6,-0.015531179597300868,0.1493295314382381,0.8774193548387097,-2.2129032258064516,0.2064516129032258,13.432258064516128,15.754207582622074,0.18298957661620036,0.16275042933467448,-0.060692283465408954,0.39291119594648233
phase1b_gate_ablation,cand008_primary__always,cand008_primary,always,93,31,3,8,0.08602150537634409,0,0,0,8,42,43,0.0,-0.007983764075993357,0.20029723625725998,0.7204301075268817,0.0031338561450911452,0.07120475403970408,0.43010752688172044,0.004712137994506667,0.4546632335286787,0.45161290322580644,15.56989247311828,0.07526881720430108,45.376344086021504,25.688736314687326,0.4457497302672778,-0.037644486315245036,0.40527311631528246,
phase1b_gate_ablation,cand008_primary__prev_entropy_q50,cand008_primary,prev_entropy_q50,93,31,3,8,0.08602150537634409,0,0,0,8,42,43,0.0,-0.017487533528434983,0.15961400809272736,0.7311827956989247,0.004531344888146355,0.06919956623122202,0.3978494623655914,0.00435910237732754,0.45427362371858787,0.6989247311827957,6.258064516129032,0.17204301075268819,20.967741935483872,20.31408357728334,0.49017342410759557,-0.3382385186689624,0.4884266274129258,
phase1b_gate_ablation,cand008_primary__prev_entropy_q67,cand008_primary,prev_entropy_q67,93,31,3,7,0.07526881720430108,0,0,0,7,42,44,0.0,-0.023740580906599112,0.18402617697710405,0.7849462365591398,0.00037683418523046935,0.05706345140636414,0.43010752688172044,-0.023235895300424227,0.36261446508096284,0.8279569892473119,4.021505376344086,0.24731182795698925,13.204301075268818,15.297455841175559,0.4060159074402516,-0.4172058383671041,0.35973694410642904,
phase1b_gate_ablation,cand008_primary__prev_entropy_q80,cand008_primary,prev_entropy_q80,93,31,3,7,0.07526881720430108,0,0,0,7,42,44,0.0,-0.020485772535495682,0.16281875587238787,0.7419354838709677,0.0003718051330317943,0.05707554789902267,0.5053763440860215,-0.023171118510666715,0.36261664674210187,0.8924731182795699,-5.075268817204301,0.40860215053763443,8.0,10.950481426780325,0.42660010047499,-0.364717310511789,0.362446628736444,
phase1b_gate_ablation,ind0067_safety_pareto__always,ind0067_safety_pareto,always,93,31,3,10,0.10752688172043011,1,0,0,9,42,41,0.010752688172043012,0.051513380145360166,0.17050367145041898,0.6666666666666666,-0.0019445469031030562,0.05399029772528693,0.6774193548387096,0.024147217452365866,0.38546596655567045,0.5161290322580645,17.06451612903226,0.0967741935483871,45.67741935483871,26.825183369980895,0.29821489013109587,0.32956966812510324,0.2882392582252985,0.3685756346417916
phase1b_gate_ablation,ind0067_safety_pareto__prev_entropy_q50,ind0067_safety_pareto,prev_entropy_q50,93,31,3,7,0.07526881720430108,1,0,0,6,42,44,0.010752688172043012,0.020068752971897214,0.1648778949904041,0.7741935483870968,0.0010959738683595694,0.06142396940463138,0.4731182795698925,0.015296608530065064,0.3108662875845125,0.7741935483870968,6.741935483870968,0.1827956989247312,20.64516129032258,19.224443883679605,0.28452754844083,0.08541834193340227,0.236045074124139,0.4544966399225058
phase1b_gate_ablation,ind0067_safety_pareto__prev_entropy_q67,ind0067_safety_pareto,prev_entropy_q67,93,31,3,5,0.053763440860215055,1,0,0,4,42,46,0.010752688172043012,0.028345091793572245,0.14895747001955195,0.7634408602150538,-0.003478219315905584,0.02508208602294462,0.6021505376344086,-0.013022215776546027,0.14949394578451775,0.8602150537634409,1.8279569892473118,0.26881720430107525,13.010752688172044,14.609775333552111,0.272128714959988,0.07762438546217575,-0.15171698863705302,0.5523828458776266
phase1b_gate_ablation,ind0067_safety_pareto__prev_entropy_q80,ind0067_safety_pareto,prev_entropy_q80,93,31,3,4,0.043010752688172046,0,0,0,4,42,47,0.0,0.03315324730602052,0.14424552978523478,0.7526881720430108,-0.002687524984829035,0.02404823299420032,0.7311827956989247,-0.015037042479361258,0.1483667126731393,0.9032258064516129,1.1505376344086022,0.22580645161290322,7.741935483870968,9.887303261172944,0.05945783875462236,0.12185537020171847,0.0032785329065434655,
